Prevalence,FailureToTreatPercentage,UnnecessaryUsePercentage
0.09,0.007052490340936646,0.6222299099565141
0.092,0.007165246770882167,0.620867214148305
0.094,0.0076578185874327095,0.6153251749947461
0.096,0.008019932426971015,0.6106150277243408
0.098,0.008248678446143649,0.6078465542604957
0.1,0.008583310431788423,0.6052543688064792
0.10200000000000001,0.008938472978871303,0.6028303884640878
0.10400000000000001,0.009267366106791252,0.5997242115132803
0.106,0.009897266363827414,0.5940885723985193
0.108,0.010843854572495515,0.586529284340193
0.11,0.011101860683166556,0.5837959714835351
0.112,0.011602677055885158,0.5795031442474013
0.114,0.012263777299988683,0.5737405228018558
0.116,0.013018962479186538,0.5673649751855026
0.11800000000000001,0.013711020223411306,0.5617254562796036
0.12,0.014558269613152493,0.5556001551916455
0.122,0.01486259073053234,0.5535524337606492
0.124,0.015475274414394025,0.5484201975460321
0.126,0.016308782877188444,0.5422126933833396
0.128,0.01676514330978516,0.5389505973261773
0.13,0.017756187458575146,0.5299988683942515
0.132,0.018573449295979566,0.5242213744160106
0.134,0.019772223928611842,0.5156963416802729
0.136,0.020368903474029646,0.5116017071081007
0.138,0.02131969478976382,0.5046735317415413
0.14,0.022083609499021967,0.49946410384907614
0.14200000000000002,0.022952601884931863,0.49277720299390554
0.14400000000000002,0.02390387817455827,0.48612691766759886
0.146,0.02500412227808403,0.47841510532016357
0.148,0.026365443993598345,0.46948964580740066
0.15,0.026927124589792916,0.4652266444656396
0.152,0.027918977028403305,0.45860739746843626
0.154,0.02886225124880777,0.45210389757351394
0.156,0.030038717082397068,0.44448051213243017
0.158,0.031191338366284613,0.4370832861830938
0.16,0.032294573142145844,0.4293957225302705
0.162,0.03371401089574678,0.42057752307667434
0.164,0.034649848849803586,0.4140095216540843
0.166,0.03555812412098482,0.4083097043275837
0.168,0.03648660663767601,0.4027941770801338
0.17,0.03740627879532485,0.3971886063466917
0.17200000000000001,0.03808152411128534,0.39317342666386457
0.17400000000000002,0.039131896732892545,0.3863338398616208
0.176,0.040387089994988606,0.37886483777623303
0.178,0.040977545708789344,0.3752865387413311
0.18,0.04171858581613023,0.37051730548505474
0.182,0.04239011299891689,0.3664871724405503
0.184,0.043050970756074294,0.36303650236828916
0.186,0.04395269887971031,0.3575468403950921
0.188,0.04478483324981006,0.35297402156517244
0.19,0.04558689923859099,0.3480648733409851
0.192,0.04612926170807805,0.34483333063903393
0.194,0.04697125721398665,0.3402282610452804
0.196,0.04744103525760196,0.3374459658255064
0.198,0.048004413262419374,0.334293231381044
0.2,0.049031992111091355,0.3283788131072277
0.202,0.05041182366349278,0.32113976947574324
0.20400000000000001,0.05137013207455666,0.31573465461775974
0.20600000000000002,0.053099791461226335,0.30606605344412297
0.20800000000000002,0.053762669942934736,0.3026998496580934
0.21,0.05442150697554115,0.29940550283709727
0.212,0.05574152508123313,0.29319306810650025
0.214,0.05670387494139899,0.28830453127273314
0.216,0.05769613152491957,0.2835948689762201
0.218,0.05897040042677703,0.2772938456813075
0.22,0.06092605764723,0.26778366931246866
0.222,0.06193835981829645,0.26302251895439627
0.224,0.06259113467724987,0.2591703713283435
0.226,0.06345948043130345,0.255010103622755
0.228,0.06398567710438255,0.2528769459577426
0.23,0.06480221148094861,0.24970707576908777
0.232,0.06585816130231656,0.2455546484747571
0.234,0.06668536510451188,0.24131961396078178
0.23600000000000002,0.0674216363019124,0.23869348033430868
0.23800000000000002,0.06882668649671025,0.23275489419486253
0.24,0.07006910877964403,0.22737071404322734
0.242,0.07112360367933526,0.22366034045167235
0.244,0.07209557218836386,0.21994002489532646
0.246,0.0729947137845746,0.2154266961961881
0.248,0.07393701805719459,0.2115316283806722
0.25,0.07491892853101408,0.2076058455519811
0.252,0.07648515171599929,0.20144594965971
0.254,0.07734420213711829,0.19791154076205564
0.256,0.07791784542265474,0.19595054882878807
0.258,0.07858791768376469,0.193590585040172
0.26,0.07928191532355841,0.19137417352365865
0.262,0.08025412631953315,0.18706534214908097
0.264,0.08074831471572447,0.1849922404177242
0.266,0.08189931941997122,0.18137207197012561
0.268,0.0831005189220647,0.17690554325158828
0.27,0.08423382207924474,0.17386265539371798
0.272,0.08483260317819558,0.17195153494236895
0.274,0.08555270857918815,0.1697398115068139
0.276,0.08602652807190546,0.16810852099128662
