,Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
10158,0.276,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10159,0.278,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10160,0.28,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10161,0.28200000000000003,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10162,0.28400000000000003,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10163,0.28600000000000003,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10164,0.28800000000000003,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10165,0.29,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10166,0.292,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10167,0.294,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10168,0.296,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10169,0.298,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10170,0.3,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10171,0.302,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10172,0.304,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10173,0.306,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10174,0.308,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10175,0.31,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10176,0.312,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10177,0.314,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10178,0.316,14359,11057,123718,0.08937260544140707,0.11606233531094909,21
10179,0.318,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10180,0.32,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10181,0.322,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10182,0.324,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10183,0.326,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10184,0.328,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10185,0.33,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10186,0.332,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10187,0.334,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10188,0.336,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10189,0.338,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10190,0.34,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10191,0.342,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10192,0.34400000000000003,16298,7522,123718,0.0607995602903377,0.13173507492846634,21
10193,0.34600000000000003,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10194,0.34800000000000003,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10195,0.35000000000000003,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10196,0.352,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10197,0.354,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10198,0.356,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10199,0.358,17552,4959,123718,0.040083092193536916,0.1418710292762573,21
10200,0.36,18850,2526,123718,0.02041740086325353,0.15236263114502335,21
10201,0.362,18850,2526,123718,0.02041740086325353,0.15236263114502335,21
10202,0.364,18850,2526,123718,0.02041740086325353,0.15236263114502335,21
10203,0.366,18850,2526,123718,0.02041740086325353,0.15236263114502335,21
10204,0.368,18850,2526,123718,0.02041740086325353,0.15236263114502335,21
10205,0.37,20007,0,123718,0.0,0.16171454436702823,21
10206,0.372,20007,0,123718,0.0,0.16171454436702823,21
10207,0.374,20007,0,123718,0.0,0.16171454436702823,21
10208,0.376,20007,0,123718,0.0,0.16171454436702823,21
10209,0.378,20007,0,123718,0.0,0.16171454436702823,21
10210,0.38,20007,0,123718,0.0,0.16171454436702823,21
10211,0.382,20007,0,123718,0.0,0.16171454436702823,21
10212,0.384,20007,0,123718,0.0,0.16171454436702823,21
10213,0.386,20007,0,123718,0.0,0.16171454436702823,21
10214,0.388,20007,0,123718,0.0,0.16171454436702823,21
10215,0.39,20007,0,123718,0.0,0.16171454436702823,21
10216,0.392,20007,0,123718,0.0,0.16171454436702823,21
10217,0.394,20007,0,123718,0.0,0.16171454436702823,21
10218,0.396,20007,0,123718,0.0,0.16171454436702823,21
10219,0.398,20007,0,123718,0.0,0.16171454436702823,21
10220,0.4,20007,0,123718,0.0,0.16171454436702823,21
10221,0.402,20007,0,123718,0.0,0.16171454436702823,21
10222,0.404,20007,0,123718,0.0,0.16171454436702823,21
10223,0.406,20007,0,123718,0.0,0.16171454436702823,21
10224,0.40800000000000003,20007,0,123718,0.0,0.16171454436702823,21
10225,0.41000000000000003,20007,0,123718,0.0,0.16171454436702823,21
10226,0.41200000000000003,20007,0,123718,0.0,0.16171454436702823,21
10227,0.41400000000000003,20007,0,123718,0.0,0.16171454436702823,21
10228,0.41600000000000004,20007,0,123718,0.0,0.16171454436702823,21
10229,0.418,20007,0,123718,0.0,0.16171454436702823,21
10230,0.42,20007,0,123718,0.0,0.16171454436702823,21
10231,0.422,20007,0,123718,0.0,0.16171454436702823,21
10232,0.424,20007,0,123718,0.0,0.16171454436702823,21
10233,0.426,20007,0,123718,0.0,0.16171454436702823,21
10234,0.428,20007,0,123718,0.0,0.16171454436702823,21
10235,0.43,20007,0,123718,0.0,0.16171454436702823,21
10236,0.432,20007,0,123718,0.0,0.16171454436702823,21
10237,0.434,20007,0,123718,0.0,0.16171454436702823,21
10238,0.436,20007,0,123718,0.0,0.16171454436702823,21
10239,0.438,20007,0,123718,0.0,0.16171454436702823,21
10240,0.44,20007,0,123718,0.0,0.16171454436702823,21
10241,0.442,20007,0,123718,0.0,0.16171454436702823,21
10242,0.444,20007,0,123718,0.0,0.16171454436702823,21
10243,0.446,20007,0,123718,0.0,0.16171454436702823,21
10244,0.448,20007,0,123718,0.0,0.16171454436702823,21
10245,0.45,20007,0,123718,0.0,0.16171454436702823,21
10246,0.452,20007,0,123718,0.0,0.16171454436702823,21
10247,0.454,20007,0,123718,0.0,0.16171454436702823,21
10248,0.456,20007,0,123718,0.0,0.16171454436702823,21
10249,0.458,20007,0,123718,0.0,0.16171454436702823,21
10250,0.46,20007,0,123718,0.0,0.16171454436702823,21
10251,0.462,20007,0,123718,0.0,0.16171454436702823,21
10252,0.464,20007,0,123718,0.0,0.16171454436702823,21
10253,0.466,20007,0,123718,0.0,0.16171454436702823,21
10254,0.468,20007,0,123718,0.0,0.16171454436702823,21
10255,0.47000000000000003,20007,0,123718,0.0,0.16171454436702823,21
10256,0.47200000000000003,20007,0,123718,0.0,0.16171454436702823,21
10257,0.47400000000000003,20007,0,123718,0.0,0.16171454436702823,21
10258,0.47600000000000003,20007,0,123718,0.0,0.16171454436702823,21
10259,0.47800000000000004,20007,0,123718,0.0,0.16171454436702823,21
10260,0.48,20007,0,123718,0.0,0.16171454436702823,21
10261,0.482,20007,0,123718,0.0,0.16171454436702823,21
10262,0.484,20007,0,123718,0.0,0.16171454436702823,21
10263,0.486,20007,0,123718,0.0,0.16171454436702823,21
10264,0.488,20007,0,123718,0.0,0.16171454436702823,21
10265,0.49,20007,0,123718,0.0,0.16171454436702823,21
10266,0.492,20007,0,123718,0.0,0.16171454436702823,21
10267,0.494,20007,0,123718,0.0,0.16171454436702823,21
10268,0.496,20007,0,123718,0.0,0.16171454436702823,21
10269,0.498,20007,0,123718,0.0,0.16171454436702823,21
10270,0.5,20007,0,123718,0.0,0.16171454436702823,21
10271,0.502,20007,0,123718,0.0,0.16171454436702823,21
10272,0.504,20007,0,123718,0.0,0.16171454436702823,21
10273,0.506,20007,0,123718,0.0,0.16171454436702823,21
10274,0.508,20007,0,123718,0.0,0.16171454436702823,21
10275,0.51,20007,0,123718,0.0,0.16171454436702823,21
10276,0.512,20007,0,123718,0.0,0.16171454436702823,21
10277,0.514,20007,0,123718,0.0,0.16171454436702823,21
10278,0.516,20007,0,123718,0.0,0.16171454436702823,21
10279,0.518,20007,0,123718,0.0,0.16171454436702823,21
10280,0.52,20007,0,123718,0.0,0.16171454436702823,21
10281,0.522,20007,0,123718,0.0,0.16171454436702823,21
10282,0.524,20007,0,123718,0.0,0.16171454436702823,21
10283,0.526,20007,0,123718,0.0,0.16171454436702823,21
10284,0.528,20007,0,123718,0.0,0.16171454436702823,21
10285,0.53,20007,0,123718,0.0,0.16171454436702823,21
10286,0.532,20007,0,123718,0.0,0.16171454436702823,21
10287,0.534,20007,0,123718,0.0,0.16171454436702823,21
10288,0.536,20007,0,123718,0.0,0.16171454436702823,21
10289,0.538,20007,0,123718,0.0,0.16171454436702823,21
10290,0.54,20007,0,123718,0.0,0.16171454436702823,21
10291,0.542,20007,0,123718,0.0,0.16171454436702823,21
10292,0.544,20007,0,123718,0.0,0.16171454436702823,21
10293,0.546,20007,0,123718,0.0,0.16171454436702823,21
10294,0.548,20007,0,123718,0.0,0.16171454436702823,21
10295,0.55,20007,0,123718,0.0,0.16171454436702823,21
10296,0.552,20007,0,123718,0.0,0.16171454436702823,21
10297,0.554,20007,0,123718,0.0,0.16171454436702823,21
10298,0.556,20007,0,123718,0.0,0.16171454436702823,21
10299,0.558,20007,0,123718,0.0,0.16171454436702823,21
10300,0.56,20007,0,123718,0.0,0.16171454436702823,21
10301,0.562,20007,0,123718,0.0,0.16171454436702823,21
10302,0.5640000000000001,20007,0,123718,0.0,0.16171454436702823,21
10303,0.5660000000000001,20007,0,123718,0.0,0.16171454436702823,21
10304,0.5680000000000001,20007,0,123718,0.0,0.16171454436702823,21
10305,0.5700000000000001,20007,0,123718,0.0,0.16171454436702823,21
10306,0.5720000000000001,20007,0,123718,0.0,0.16171454436702823,21
10307,0.5740000000000001,20007,0,123718,0.0,0.16171454436702823,21
10308,0.5760000000000001,20007,0,123718,0.0,0.16171454436702823,21
10309,0.578,20007,0,123718,0.0,0.16171454436702823,21
10310,0.58,20007,0,123718,0.0,0.16171454436702823,21
10311,0.582,20007,0,123718,0.0,0.16171454436702823,21
10312,0.584,20007,0,123718,0.0,0.16171454436702823,21
10313,0.586,20007,0,123718,0.0,0.16171454436702823,21
10314,0.588,20007,0,123718,0.0,0.16171454436702823,21
10315,0.59,20007,0,123718,0.0,0.16171454436702823,21
10316,0.592,20007,0,123718,0.0,0.16171454436702823,21
10317,0.594,20007,0,123718,0.0,0.16171454436702823,21
10318,0.596,20007,0,123718,0.0,0.16171454436702823,21
10319,0.598,20007,0,123718,0.0,0.16171454436702823,21
10320,0.6,20007,0,123718,0.0,0.16171454436702823,21
10321,0.602,20007,0,123718,0.0,0.16171454436702823,21
10322,0.604,20007,0,123718,0.0,0.16171454436702823,21
10323,0.606,20007,0,123718,0.0,0.16171454436702823,21
10324,0.608,20007,0,123718,0.0,0.16171454436702823,21
10325,0.61,20007,0,123718,0.0,0.16171454436702823,21
10326,0.612,20007,0,123718,0.0,0.16171454436702823,21
10327,0.614,20007,0,123718,0.0,0.16171454436702823,21
10328,0.616,20007,0,123718,0.0,0.16171454436702823,21
10329,0.618,20007,0,123718,0.0,0.16171454436702823,21
10330,0.62,20007,0,123718,0.0,0.16171454436702823,21
10331,0.622,20007,0,123718,0.0,0.16171454436702823,21
10332,0.624,20007,0,123718,0.0,0.16171454436702823,21
10333,0.626,20007,0,123718,0.0,0.16171454436702823,21
10334,0.628,20007,0,123718,0.0,0.16171454436702823,21
10335,0.63,20007,0,123718,0.0,0.16171454436702823,21
10336,0.632,20007,0,123718,0.0,0.16171454436702823,21
10337,0.634,20007,0,123718,0.0,0.16171454436702823,21
10338,0.636,20007,0,123718,0.0,0.16171454436702823,21
10339,0.638,20007,0,123718,0.0,0.16171454436702823,21
10340,0.64,20007,0,123718,0.0,0.16171454436702823,21
10341,0.642,20007,0,123718,0.0,0.16171454436702823,21
10342,0.644,20007,0,123718,0.0,0.16171454436702823,21
10343,0.646,20007,0,123718,0.0,0.16171454436702823,21
