Threshold,Slope,Lambda
0.138,-1.9510907469164405,0.5125338232372987
0.14,-2.004487869596,0.49888054458595843
0.14200000000000002,-2.06367658700764,0.48457205276046383
0.14400000000000002,-2.128656899151359,0.46977979419730553
0.146,-2.1994288060271607,0.45466350047779225
0.148,-2.2759923076350397,0.4393687960391614
0.15,-2.3583474039749994,0.4240257386653459
0.152,-2.44649409504704,0.4087481764311279
0.154,-2.5404323808511613,0.393633779642249
0.156,-2.6401622613873563,0.3787645989131435
0.158,-2.7456837366556393,0.364208006424674
0.16,-2.856996806656003,0.35001789209924206
0.162,0.0,inf
0.164,0.0,inf
0.166,0.0,inf
0.168,0.0,inf
0.17,0.0,inf
0.17200000000000001,0.0,inf
0.17400000000000002,0.0,inf
0.176,0.0,inf
0.178,0.0,inf
0.18,0.0,inf
0.182,0.0,inf
0.184,0.0,inf
0.186,0.0,inf
0.188,0.0,inf
0.19,0.0,inf
0.192,0.0,inf
0.194,0.0,inf
0.196,0.0,inf
0.198,0.0,inf
0.2,0.0,inf
0.202,0.0,inf
0.20400000000000001,0.0,inf
0.20600000000000002,0.0,inf
0.20800000000000002,0.0,inf
0.21,0.0,inf
0.212,0.0,inf
0.214,0.0,inf
0.216,0.0,inf
0.218,0.0,inf
0.22,0.0,inf
0.222,0.0,inf
0.224,0.0,inf
0.226,0.0,inf
0.228,0.0,inf
0.23,0.0,inf
0.232,0.0,inf
0.234,0.0,inf
0.23600000000000002,0.0,inf
0.23800000000000002,0.0,inf
0.24,0.0,inf
0.242,0.0,inf
0.244,0.0,inf
0.246,0.0,inf
0.248,0.0,inf
0.25,0.0,inf
0.252,0.0,inf
0.254,0.0,inf
0.256,0.0,inf
0.258,0.0,inf
0.26,0.0,inf
0.262,0.0,inf
0.264,0.0,inf
0.266,0.0,inf
0.268,0.0,inf
0.27,0.0,inf
0.272,0.0,inf
0.274,0.0,inf
0.276,0.0,inf
0.278,0.0,inf
0.28,0.0,inf
0.28200000000000003,0.0,inf
0.28400000000000003,0.0,inf
0.28600000000000003,0.0,inf
0.28800000000000003,0.0,inf
0.29,0.0,inf
0.292,0.0,inf
0.294,0.0,inf
0.296,0.0,inf
0.298,0.0,inf
0.3,0.0,inf
0.302,0.0,inf
0.304,0.0,inf
0.306,0.0,inf
0.308,0.0,inf
0.31,0.0,inf
0.312,0.0,inf
0.314,0.0,inf
0.316,0.0,inf
0.318,0.0,inf
0.32,0.0,inf
0.322,0.0,inf
0.324,0.0,inf
0.326,0.0,inf
0.328,0.0,inf
0.33,0.0,inf
0.332,0.0,inf
0.334,0.0,inf
0.336,0.0,inf
0.338,0.0,inf
0.34,0.0,inf
0.342,0.0,inf
0.34400000000000003,0.0,inf
0.34600000000000003,0.0,inf
0.34800000000000003,0.0,inf
0.35000000000000003,0.0,inf
0.352,0.0,inf
0.354,0.0,inf
0.356,0.0,inf
0.358,0.0,inf
0.36,0.0,inf
0.362,0.0,inf
0.364,0.0,inf
0.366,0.0,inf
0.368,0.0,inf
0.37,0.0,inf
0.372,0.0,inf
0.374,0.0,inf
0.376,0.0,inf
0.378,0.0,inf
0.38,0.0,inf
0.382,0.0,inf
0.384,0.0,inf
0.386,0.0,inf
0.388,0.0,inf
