Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
0.186,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.188,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.19,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.192,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.194,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.196,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.198,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.2,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.202,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.20400000000000001,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.20600000000000002,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.20800000000000002,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.21,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.212,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.214,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.216,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.218,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.22,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.222,8670,25974,123718,0.20994519795017702,0.07007872742850677,Total
0.224,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.226,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.228,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.23,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.232,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.234,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.23600000000000002,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.23800000000000002,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.24,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.242,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.244,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.246,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.248,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.25,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.252,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.254,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.256,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.258,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.26,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.262,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.264,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.266,9818,21986,123718,0.1777105999127047,0.07935789456667583,Total
0.268,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.27,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.272,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.274,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.276,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.278,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.28,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.28200000000000003,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.28400000000000003,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.28600000000000003,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.28800000000000003,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.29,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.292,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.294,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.296,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.298,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.3,11226,18140,123718,0.14662377342019756,0.0907386152378797,Total
0.302,12750,14603,123718,0.11803456247272022,0.10305695210074524,Total
0.304,12750,14603,123718,0.11803456247272022,0.10305695210074524,Total
0.306,12750,14603,123718,0.11803456247272022,0.10305695210074524,Total
0.308,12750,14603,123718,0.11803456247272022,0.10305695210074524,Total
0.31,12750,14603,123718,0.11803456247272022,0.10305695210074524,Total
0.312,12750,14603,123718,0.11803456247272022,0.10305695210074524,Total
0.314,14359,11057,123718,0.08937260544140707,0.11606233531094909,Total
0.316,15516,8531,123718,0.06895520457815354,0.12541424853295396,Total
